1,1,Chachapoyas,Provincia de Chachapoyas en Amazonas
1,2,Bagua,Provincia de Bagua en Amazonas
1,3,Bongara,Provincia de Bongará en Amazonas
1,4,Condorcanqui,Provincia de Condorcanqui en Amazonas
1,5,Luya,Provincia de Luya en Amazonas
1,6,Rodriguez De Mendo,Provincia de Rodríguez de Mendoza en Amazonas
1,7,Utcubamba,Provincia de Utcubamba en Amazonas
2,8,Huaraz,Provincia de Huaraz en Ancash
2,9,Aija,Provincia de Aija en Ancash
2,10,Antonio Raymondi,Provincia de Antonio Raymondi en Ancash
2,11,Asunción,Provincia de Asunción en Ancash
2,12,Bolognesi,Provincia de Bolognesi en Ancash
2,13,Carhuaz,Provincia de Carhuaz en Ancash
2,14,Carlos Fermín Fitzcarrald,Provincia de Carlos Fermín Fitzcarrald en Ancash
2,15,Casma,Provincia de Casma en Ancash
2,16,Corongo,Provincia de Corongo en Ancash
2,17,Huari,Provincia de Huari en Ancash
2,18,Huarmey,Provincia de Huarmey en Ancash
2,19,Mariscal Luzuriaga,Provincia de Mariscal Luzuriaga en Ancash
2,20,Ocros,Provincia de Ocros en Ancash
2,21,Pallasca,Provincia de Pallasca en Ancash
2,22,Pomabamba,Provincia de Pomabamba en Ancash
2,23,Recuay,Provincia de Recuay en Ancash
2,24,Santa,Provincia de Santa en Ancash
2,25,Sihuas,Provincia de Sihuas en Ancash
2,26,Yungay,Provincia de Yungay en Ancash